"﻿Rank	state	population"
"""1""	""California""	""39250017"""
"""2""	""Texas""	""27862596"""
"""3""	""Florida""	""20612439"""
"""4""	""New York""	""19745289"""
"""5""	""Illinois""	""12801539"""
"""6""	""Pennsylvania""	""12784227"""
"""7""	""Ohio""	""11614373"""
"""8""	""Georgia""	""10310371"""
"""9""	""North Carolina""	""10146788"""
"""10""	""Michigan""	""9928300"""
"""11""	""New Jersey""	""8944469"""
"""12""	""Virginia""	""8411808"""
"""13""	""Washington""	""7288000"""
"""14""	""Arizona""	""6931071"""
"""15""	""Massachusetts""	""6811779"""
"""16""	""Tennessee""	""6651194"""
"""17""	""Indiana""	""6633053"""
"""18""	""Missouri""	""6093000"""
"""19""	""Maryland""	""6016447"""
"""20""	""Wisconsin""	""5778708"""
"""21""	""Colorado""	""5540545"""
"""22""	""Minnesota""	""5519952"""
"""23""	""South Carolina""	""4961119"""
"""24""	""Alabama""	""4863300"""
"""25""	""Louisiana""	""4681666"""
"""26""	""Kentucky""	""4436974"""
"""27""	""Oregon""	""4093465"""
"""28""	""Oklahoma""	""3923561"""
"""29""	""Connecticut""	""3576452"""
"""30""	""Iowa""	""3134693"""
"""31""	""Utah""	""3051217"""
"""32""	""Mississippi""	""2988726"""
"""33""	""Arkansas""	""2988248"""
"""34""	""Nevada""	""2940058"""
"""35""	""Kansas""	""2907289"""
"""36""	""New Mexico""	""2081015"""
"""37""	""Nebraska""	""1907116"""
"""38""	""West Virginia""	""1831102"""
"""39""	""Idaho""	""1683140"""
"""40""	""Hawaii""	""1428557"""
"""41""	""New Hampshire""	""1334795"""
"""42""	""Maine""	""1331479"""
"""43""	""Rhode Island""	""1056426"""
"""44""	""Montana""	""1042520"""
"""45""	""Delaware""	""952065"""
"""46""	""South Dakota""	""865454"""
"""47""	""North Dakota""	""757952"""
"""48""	""Alaska""	""741894"""
"""49""	""Vermont""	""624594"""
"""50""	""Wyoming""	""585500"""
